;artist;genre;media;style;title;url;year
212;Pablo Picasso;genre painting;gouache,paper;naïve art (primitivism);A horsewoman;https://uploads2.wikiart.org/images/pablo-picasso/a-horsewoman-1905.jpg!Large.jpg;
213;Pablo Picasso;genre painting;oil,canvas;post-impressionism;Acrobat and young harlequin;https://uploads8.wikiart.org/images/pablo-picasso/acrobat-and-young-harlequin-1905.jpg!Large.jpg;
214;Pablo Picasso;genre painting;oil,canvas;post-impressionism;"At ""Lapin Agile"" (Harlequin with Glass)";https://uploads7.wikiart.org/images/pablo-picasso/at-lapin-agile-harlequin-with-glass-1905.jpg!Large.jpg;
215;Pablo Picasso;genre painting;gouache,cardboard;expressionism,symbolism;Boy with a Dog;https://uploads4.wikiart.org/images/pablo-picasso/boy-with-a-dog-1905.jpg!Large.jpg;1905
216;Pablo Picasso;genre painting;;post-impressionism;Boy with bouquet of flowers in his hand;https://uploads2.wikiart.org/images/pablo-picasso/boy-with-bouquet-of-flowers-in-his-hand-1905.jpg!Large.jpg;
217;Pablo Picasso;nude painting (nu);;realism;Dutch girl;https://uploads0.wikiart.org/images/pablo-picasso/dutch-girl-1905.jpg!Large.jpg;1905
218;Pablo Picasso;landscape;;post-impressionism;Dutch landscape with windmills;https://uploads1.wikiart.org/images/pablo-picasso/dutch-landscape-with-windmills-1905.jpg;
219;Pablo Picasso;genre painting;;naïve art (primitivism);Dutchwoman beside the canal;https://uploads8.wikiart.org/images/pablo-picasso/dutchwoman-beside-the-canal-1905.jpg!Large.jpg;
220;Pablo Picasso;portrait;indian ink,paper;post-impressionism;Family of acrobats;https://uploads8.wikiart.org/images/pablo-picasso/family-of-acrobats-1905.jpg!Large.jpg;
221;Pablo Picasso;genre painting;;expressionism;Family of acrobats (Jugglers);https://uploads8.wikiart.org/images/pablo-picasso/family-of-acrobats-jugglers-1905.jpg!Large.jpg;
222;Pablo Picasso;genre painting;;expressionism;Family of acrobats (study);https://uploads5.wikiart.org/images/pablo-picasso/family-of-acrobats-study-1905.jpg!Large.jpg;
223;Pablo Picasso;genre painting;;expressionism;Family of Acrobats with Monkey;https://uploads2.wikiart.org/images/pablo-picasso/family-of-acrobats-with-monkey-1905.jpg!Large.jpg;
224;Pablo Picasso;genre painting;watercolor,paper;expressionism;Family of jugglers;https://uploads8.wikiart.org/images/pablo-picasso/family-of-jugglers-1905.jpg!Large.jpg;
